frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.960516,  1, 0, 0, 0, 0.641971, 0.348717, 0.334948, 1.71423, 0.418418, 0.362112, 0.247002, 0, 0.634896, 0.434441, 0.644139, 1.60092, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
2,  0.0403063,  0.96019,  1, 0, 0, 0, 0.476407, 0.472097, 0.820925, 1.58985, 0.29143, 0.401754, 0.394842, 0, 0.382159, 0.560628, 0.528876, 1.52906, 0.180436, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
3,  0.0806126,  0.961147,  1, 0, 0, 0, 0.388265, 0.554984, 1.0191, 1.51632, 0.15267, 0.411571, 0.354691, 0, 0.21203, 0.672372, 0.434661, 1.43519, 0.204365, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0
4,  0.120919,  0.962231,  1, 0, 0, 0, 0.257991, 0.558977, 0.920429, 1.50489, 0.100565, 0.402171, 0.220065, 0, 0.161463, 0.782366, 0.38659, 1.5391, 0.356437, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0
5,  0.161225,  0.963145,  1, 0.013769, 0, 0, 0.223326, 0.602521, 0.922659, 1.48086, 0.118275, 0.425658, 0.130068, 0, 0.0555972, 0.798423, 0.344578, 1.5054, 0.538658, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0
6,  0.201531,  0.963255,  1, 0.109536, 0, 0, 0.199741, 0.607532, 0.966474, 1.53877, 0.117562, 0.509385, 0.11713, 0, 0.014094, 0.862057, 0.282551, 1.4919, 0.685601, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0
7,  0.241838,  0.964535,  1, 0.191888, 0, 0, 0.34674, 0.670222, 0.951414, 1.44372, 0.146515, 0.641084, 0.0906306, 0, 0.014094, 0.884224, 0.284091, 1.50795, 0.595643, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
8,  0.282144,  0.968397,  1, 0.178845, 0, 0, 0.636908, 0.679083, 0.988256, 1.43086, 0.0533733, 0.758119, 0.0681391, 0, 0.000590597, 1.04021, 0.278879, 1.45007, 0.783465, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
9,  0.32245,  0.968411,  1, 0.0830781, 0, 0, 0.939631, 0.710497, 0.974855, 1.30965, 0.0876093, 0.906776, 0.213985, 0.0217947, 0.000590597, 1.29218, 0.359759, 1.30186, 0.924609, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
10,  0.362757,  0.967512,  1, 0.000726095, 0, 0, 1.09339, 0.714674, 1.22811, 1.25164, 0.0847921, 1.05041, 0.408938, 0.0217947, 0.000590597, 1.39107, 0.413948, 1.04333, 1.05411, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
11,  0.403063,  0.967688,  1, 0, 0, 0, 1.14416, 0.784512, 1.31548, 1.11534, 0.227013, 1.23542, 0.720905, 0.0217947, 0, 1.29881, 0.454585, 0.948826, 1.08758, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
12,  0.443369,  0.968081,  1, 0, 0, 0, 1.21433, 0.823661, 1.47371, 0.943281, 0.288784, 1.33488, 0.868332, 0, 0, 1.10521, 0.487632, 0.961911, 1.11126, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
13,  0.483675,  0.966651,  1, 0, 0, 0, 1.4646, 0.837001, 1.54073, 0.863191, 0.457952, 1.39259, 1.06518, 0, 0.0119589, 1.14467, 0.566294, 0.716281, 0.805537, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
14,  0.523982,  0.967571,  1, 0, 0, 0, 1.87566, 0.757302, 1.60922, 0.855942, 0.571496, 1.3259, 1.12301, 0, 0.0119589, 1.27712, 0.62092, 0.612985, 0.377171, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
15,  0.564288,  0.965396,  1, 0, 0, 0, 2.24076, 0.658994, 1.5861, 0.935585, 0.825489, 1.27375, 1.10235, 0.160581, 0.0119589, 1.27257, 0.654208, 0.440899, 0.0414765, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
16,  0.604594,  0.965894,  1, 0, 0, 0, 2.3905, 0.55824, 1.59266, 0.970154, 0.930262, 1.19357, 0.997535, 0.286719, 0, 1.24449, 0.610769, 0.39175, 0.0144835, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0
17,  0.644901,  0.962295,  1, 0, 0, 0, 2.37037, 0.487546, 1.58536, 1.01361, 1.02017, 1.13856, 1.00901, 0.286719, 0.0311089, 1.16595, 0.592886, 0.2797, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
18,  0.685207,  0.961414,  1, 0, 0, 0, 2.28255, 0.461668, 1.59374, 1.01028, 0.949333, 1.08758, 1.23124, 0.133693, 0.0502812, 1.2958, 0.597984, 0.276974, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
19,  0.725513,  0.957431,  1, 0, 0, 0, 2.3309, 0.437053, 1.54496, 1.04938, 0.877553, 1.03086, 1.31879, 0.0255482, 0.0533223, 1.32503, 0.549182, 0.302053, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
20,  0.765819,  0.951591,  1, 0, 0, 0, 2.41404, 0.39405, 1.68177, 1.1415, 0.797864, 0.931367, 1.31475, 0.0856368, 0.121725, 1.31521, 0.452254, 0.381017, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
21,  0.806126,  0.933348,  1, 0.0934766, 0, 0, 2.51262, 0.291703, 1.81067, 1.29854, 0.775298, 0.789104, 1.11731, 0.0780822, 0.102553, 1.15846, 0.31281, 0.468832, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
22,  0.846432,  0.933699,  1, 0.127411, 0, 0, 2.46707, 0.196015, 1.83716, 1.3462, 0.727225, 0.686871, 1.11652, 0.26192, 0.0995116, 1.0519, 0.276575, 0.556825, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
23,  0.886738,  0.931952,  1, 0.127411, 0, 0, 2.47915, 0.113015, 1.71458, 1.40458, 0.708046, 0.623027, 1.01377, 0.234024, 0, 0.977354, 0.255583, 0.569212, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
24,  0.927045,  0.929043,  1, 0.0339349, 0, 0, 2.40301, 0.0841515, 1.71463, 1.31957, 0.660941, 0.578721, 0.966387, 0.417854, 0, 0.911557, 0.279845, 0.625348, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
25,  0.967351,  0.933042,  1, 0.0391519, 0, 0, 2.37039, 0.0620169, 1.69219, 1.3068, 0.654522, 0.565395, 0.934342, 0.216023, 0, 0.875963, 0.241701, 0.692647, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
26,  1.00766,  0.938229,  1, 0.110431, 0, 0, 2.32167, 0.0759044, 1.68747, 1.23574, 0.681841, 0.581969, 0.967949, 0.18383, 0, 0.981764, 0.250724, 0.791673, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
27,  1.04796,  0.941633,  1, 0.156266, 0, 0, 2.25734, 0.0866747, 1.68887, 1.22391, 0.704439, 0.658197, 1.03679, 0.078285, 0.0422235, 1.11377, 0.255429, 0.798304, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
28,  1.08827,  0.939512,  1, 0.117114, 0, 0, 2.0329, 0.176317, 2.00353, 1.17479, 0.853509, 0.661856, 1.02205, 0.078285, 0.123919, 1.16459, 0.226048, 0.715468, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
29,  1.12858,  0.943701,  1, 0.105098, 0, 0, 1.96108, 0.245947, 2.32414, 1.13898, 0.883796, 0.647126, 1.04819, 0.0800963, 0.294674, 1.19924, 0.194683, 0.601397, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
