time,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0.0,-1.0,-1.0,-1.0,-0.7372224,-0.7997516,-0.8247548,-1.0,-0.6057948,-0.585188,-0.9366832,-1.0,-0.335032,-1.0,-1.0,-0.45497199999999993,-1.0,-1.0
0.04,-1.0,-1.0,-1.0,-0.8332068,-0.807288,-0.8639736,-0.99591192,-0.6494608,-0.55024,-0.97889448,-1.0,-0.505196,-0.8430336,-1.0,-0.42144799999999993,-1.0,-1.0
0.08,-1.0,-1.0,-1.0,-0.872426,-0.8163659999999999,-0.9223888,-0.99591192,-0.6981040000000001,-0.5144,-1.0,-1.0,-0.6019004,-0.723808,-1.0,-0.43757999999999997,-1.0,-1.0
0.12,-1.0,-1.0,-1.0,-0.9356792,-0.854792,-0.97710364,-1.0,-0.7104796,-0.55894,-0.98533936,-1.0,-0.48853599999999997,-0.7618064,-1.0,-0.46774399999999994,-1.0,-1.0
0.16,-1.0,-1.0,-1.0,-0.9059576,-0.9008655999999999,-1.0,-0.99567596,-0.6662528,-0.6413123999999999,-0.9255288,-1.0,-0.33710399999999996,-0.7177788,-1.0,-0.5511199999999999,-0.96398604,-1.0
0.2,-1.0,-1.0,-1.0,-0.9050199999999999,-0.9585372,-1.0,-0.99567596,-0.6168388,-0.7417248,-0.7546972000000001,-1.0,-0.11518399999999995,-0.7038272,-1.0,-0.7032508,-0.8605387999999999,-1.0
0.24,-1.0,-1.0,-1.0,-0.8586736,-0.98631156,-1.0,-0.99567596,-0.6088283999999999,-0.7818776,-0.590096,-1.0,-0.0036799999999999056,-0.6094383999999999,-1.0,-0.8491364,-0.7226927999999999,-1.0
0.28,-0.98025892,-1.0,-1.0,-0.8481027999999999,-1.0,-1.0,-1.0,-0.6423724,-0.8340763999999999,-0.5883799999999999,-1.0,0.07485999999999993,-0.6516768,-1.0,-0.9351788,-0.6326016000000001,-1.0
0.32,-0.98025892,-1.0,-1.0,-0.808292,-1.0,-0.9500808,-1.0,-0.5926199999999999,-0.8580288,-0.70093,-1.0,0.14082799999999995,-0.7785032000000001,-1.0,-0.8019932,-0.6326992,-1.0
0.36,-0.98025892,-1.0,-1.0,-0.849066,-0.9910102,-0.9132392,-1.0,-0.517596,-0.8635184,-0.8005876,-1.0,0.192952,-0.939668,-1.0,-0.6730244,-0.7006664,-1.0
0.4,-1.0,-1.0,-1.0,-0.8602276,-0.98972468,-0.8841068,-0.99153248,-0.44974400000000003,-0.8598692,-0.8212068,-1.0,0.13870000000000005,-0.947942,-1.0,-0.459056,-0.8267716,-1.0
0.44,-1.0,-1.0,-1.0,-0.9493492,-0.9492236000000001,-0.9340264,-0.99153248,-0.507076,-0.8294792,-0.8101176,-1.0,-0.014227999999999907,-0.8983327999999999,-1.0,-0.36083199999999993,-0.9301212,-1.0
0.48,-1.0,-1.0,-1.0,-0.954902,-0.9029052,-0.96216236,-0.98539,-0.531684,-0.8056255999999999,-0.8553628,-1.0,-0.14786399999999977,-0.8177128,-1.0,-0.3085960000000001,-0.99304624,-1.0
0.52,-1.0,-1.0,-1.0,-0.979355,-0.8456584,-0.9523132,-0.979924,-0.580928,-0.7659328,-0.8923508,-1.0,-0.163856,-0.7343303999999999,-1.0,-0.32222399999999984,-0.99144192,-1.0
0.56,-1.0,-1.0,-1.0,-0.979355,-0.8279092,-0.9123156,-0.97172444,-0.574668,-0.7823224,-0.96172016,-1.0,-0.1160199999999999,-0.7105032,-1.0,-0.3515799999999999,-0.9092576,-1.0
0.6,-1.0,-1.0,-1.0,-0.97937496,-0.8430392,-0.893218,-0.9543972000000001,-0.567552,-0.7614436,-0.9571008,-1.0,-0.16978799999999994,-0.6930008000000001,-1.0,-0.316156,-0.8333075999999999,-1.0
0.64,-1.0,-1.0,-1.0,-1.0,-0.8230864,-0.85545,-0.96833064,-0.5867519999999999,-0.7144288,-0.9298024,-1.0,-0.24429199999999995,-0.7854095999999999,-1.0,-0.28101999999999994,-0.7366876,-1.0
0.68,-1.0,-1.0,-1.0,-1.0,-0.7864508,-0.8051016,-0.9765302,-0.631076,-0.6352744,-0.9298024,-1.0,-0.3139719999999999,-0.781826,-1.0,-0.21534799999999998,-0.8094088,-1.0
0.72,-1.0,-1.0,-1.0,-1.0,-0.7194415999999999,-0.7274312000000001,-1.0,-0.7255532,-0.5775680000000001,-0.96878192,-1.0,-0.28614799999999996,-0.8305047999999999,-1.0,-0.12705600000000006,-0.8923124,-1.0
0.76,-1.0,-1.0,-1.0,-1.0,-0.6871824,-0.708924,-1.0,-0.8023188,-0.5488,-1.0,-1.0,-0.29982,-0.7934715999999999,-1.0,-0.05699199999999993,-0.99053696,-1.0
0.8,-1.0,-1.0,-1.0,-1.0,-0.6591704,-0.668064,-1.0,-0.8170032,-0.54636,-1.0,-1.0,-0.37542,-0.7495879999999999,-1.0,-0.017396000000000078,-1.0,-1.0
0.84,-1.0,-1.0,-1.0,-1.0,-0.6503703999999999,-0.6713012,-1.0,-0.7978132,-0.54928,-1.0,-1.0,-0.431156,-0.6957552,-1.0,-0.039827999999999975,-1.0,-1.0
0.88,-1.0,-1.0,-1.0,-1.0,-0.6434652,-0.6711672,-1.0,-0.8062792,-0.5625880000000001,-1.0,-1.0,-0.532716,-0.6251591999999999,-1.0,-0.09027600000000002,-1.0,-1.0
0.92,-1.0,-1.0,-1.0,-1.0,-0.6395108,-0.7003832,-1.0,-0.792042,-0.562292,-1.0,-1.0,-0.578816,-0.7424468,-1.0,-0.03730399999999989,-1.0,-1.0
0.96,-1.0,-1.0,-1.0,-1.0,-0.6268916,-0.6751663999999999,-1.0,-0.835334,-0.561588,-1.0,-1.0,-0.6856608,-0.7913164,-1.0,-0.025083999999999995,-1.0,-1.0
1.0,-1.0,-1.0,-1.0,-1.0,-0.6244284,-0.6304544000000001,-1.0,-0.7635828,-0.5426679999999999,-1.0,-1.0,-0.66686,-0.8812076,-1.0,0.042623999999999995,-0.99545532,-1.0
1.04,-1.0,-1.0,-1.0,-1.0,-0.6305048,-0.6301087999999999,-1.0,-0.8266068,-0.518376,-1.0,-1.0,-0.636954,-0.8473004,-1.0,-0.01958800000000005,-0.99545532,-1.0
1.08,-1.0,-1.0,-1.0,-1.0,-0.6642888,-0.6452944,-1.0,-0.8193948,-0.4975799999999999,-1.0,-1.0,-0.61399,-0.856846,-1.0,-0.0655079999999999,-0.99545532,-1.0
