time,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0.0,0.271388,0.0,0.0,0.006215740000000001,0.1367516,0.22243000000000002,0.0,0.0356948,0.00593448,0.206486,0.0,0.194081,0.0,0.0,0.0,0.0856014,0.0
0.04,0.267088,0.0,0.0,0.0227716,0.1305084,0.20210400000000003,0.0,0.09748000000000001,0.001978162,0.240108,0.0122923,0.243348,0.0,0.0,0.0037803199999999998,0.201688,0.0
0.08,0.264054,0.0,0.0,0.021432800000000002,0.1278774,0.1898534,0.0,0.11311040000000001,0.0,0.234498,0.0122923,0.26646000000000003,0.0,0.0,0.0037803199999999998,0.21836000000000003,0.0
0.12,0.264766,0.0,0.0,0.0248904,0.1289774,0.2278,0.0,0.12134600000000001,0.00517594,0.23697800000000002,0.0122923,0.309234,0.0,0.0,0.0037803199999999998,0.21506599999999998,0.0
0.16,0.27275400000000005,0.0,0.0,0.0041906,0.12117220000000001,0.23236,0.0,0.11363600000000001,0.00517594,0.225086,0.0303334,0.357826,0.0,0.0,0.0,0.18082779999999998,0.0
0.2,0.26600799999999997,0.0,0.0,0.0034576,0.11714360000000001,0.24546200000000004,0.0,0.1275672,0.00517594,0.26141400000000004,0.0303334,0.37891199999999997,0.0,0.0,0.0,0.24477000000000004,0.0
0.24,0.252302,0.0,0.0,0.0,0.11989459999999999,0.261268,0.000832514,0.151376,0.00502296,0.266784,0.0333954,0.37841199999999997,0.0,0.0,0.0397826,0.219176,0.0
0.28,0.227034,0.0,0.0,0.0,0.12767620000000002,0.31886600000000004,0.004202780000000001,0.15744260000000002,0.00921994,0.25009000000000003,0.0030619400000000004,0.32559400000000005,0.0,0.0,0.12533080000000002,0.229098,0.0
0.32,0.21469000000000002,0.0,0.0,0.0,0.1373496,0.34643599999999997,0.004202780000000001,0.1735118,0.0245964,0.22085200000000002,0.0030619400000000004,0.348206,0.0,0.0,0.160343,0.17589560000000004,0.0
0.36,0.202218,0.0,0.0,0.0,0.1577966,0.35325800000000007,0.0074808,0.1417916,0.0341494,0.21561400000000003,0.0,0.37388800000000005,0.0,0.0,0.12056040000000001,0.22149200000000002,0.0
0.4,0.21705000000000002,0.0,0.0,0.0,0.1792052,0.326044,0.0041105199999999995,0.1375282,0.047562200000000006,0.237296,0.0,0.37715600000000005,0.0,0.0,0.0350122,0.23711000000000004,0.0
0.44,0.25235599999999997,0.0,0.0,0.0,0.18759040000000002,0.30741,0.0041105199999999995,0.12663480000000002,0.045528000000000006,0.266392,0.0,0.35113,0.0,0.0,0.00995512,0.262146,0.0
0.48,0.285132,0.0,0.0,0.0,0.1827142,0.293436,0.0,0.133422,0.044765400000000004,0.26266,0.0,0.29162400000000005,0.0,0.0,0.022314,0.23880800000000002,0.0
0.52,0.32205,0.0,0.0,0.0,0.17971240000000002,0.274418,0.0,0.12248940000000003,0.05313020000000001,0.29600200000000004,0.0,0.314958,0.0,0.0,0.022314,0.26284799999999997,0.0
0.56,0.322112,0.0,0.0,0.0,0.1945802,0.294706,0.0,0.090068,0.0636656,0.31363,0.0,0.33706400000000003,0.0,0.0,0.01235894,0.254514,0.0
0.6,0.300896,0.0,0.0,0.0,0.208308,0.29421,0.0,0.10944040000000002,0.08811600000000001,0.33418600000000004,0.0,0.406884,0.0,0.0,0.01341406,0.20528800000000003,0.0
0.64,0.270342,0.0,0.0,0.0,0.21678599999999998,0.322778,0.0,0.1590824,0.10931680000000002,0.35113,0.0,0.42139400000000005,0.0,0.0,0.01414124,0.1708864,0.0
0.68,0.22132800000000002,0.0,0.0,0.0,0.226302,0.325646,0.0,0.19314759999999997,0.13502860000000003,0.353596,0.0,0.40175800000000006,0.0,0.0,0.01414124,0.1720562,0.0
0.72,0.20589800000000003,0.0,0.0,0.0,0.241586,0.362512,0.0,0.203488,0.1448286,0.376766,0.0,0.349512,0.0,0.0,0.0007271760000000001,0.18634720000000002,0.0
0.76,0.18481720000000001,0.0,0.0,0.0,0.25835400000000003,0.39458800000000005,0.0,0.20823800000000003,0.1472066,0.354906,0.0,0.3417140000000001,0.0,0.0,0.0,0.15318260000000003,0.0
0.8,0.19916,0.0,0.0,0.0,0.26412,0.409312,0.0,0.253652,0.1479172,0.36671400000000004,0.0,0.345512,0.0,0.0,0.0,0.13382840000000001,0.0
0.84,0.1861604,0.0,0.0,0.0,0.264832,0.412386,0.0,0.26302,0.15286600000000003,0.36793800000000004,0.0,0.36694000000000004,0.0,0.0,0.0,0.1485674,0.0
0.88,0.1838448,0.0,0.0,0.0,0.26691400000000004,0.4092280000000001,0.008343040000000001,0.265422,0.16140620000000003,0.3737440000000001,0.0,0.318938,0.0,0.0,0.0,0.179923,0.0
0.92,0.1649952,0.0,0.0,0.0,0.277472,0.420674,0.0251238,0.232176,0.166213,0.387794,0.0,0.308244,0.0,0.0,0.009048400000000002,0.242706,0.0
0.96,0.15862240000000002,0.0,0.0,0.0,0.29160200000000003,0.42727800000000005,0.0353924,0.21541600000000002,0.17119340000000002,0.36851199999999995,0.0,0.28971,0.0,0.0,0.009048400000000002,0.250376,0.0
1.0,0.147705,0.0,0.0,0.025640000000000003,0.300508,0.434448,0.030259000000000005,0.20209599999999997,0.17341640000000003,0.37243000000000004,0.0,0.27999999999999997,0.0,0.0,0.009048400000000002,0.206048,0.0
1.04,0.15224320000000002,0.0,0.0,0.028254800000000004,0.292888,0.435018,0.0308614,0.208206,0.1816328,0.3366,0.0,0.264398,0.0,0.0,0.0,0.1411978,0.0
1.08,0.1428216,0.0,0.0,0.028254800000000004,0.30076600000000003,0.42546,0.029668600000000003,0.21765800000000002,0.182792,0.31282600000000005,0.0,0.263454,0.0,0.0,0.0,0.1323138,0.0
1.12,0.14595180000000002,0.0,0.0,0.0026148400000000002,0.29836,0.43072599999999994,0.0478012,0.21193400000000004,0.1840218,0.29789,0.0,0.303334,0.0,0.0,0.0,0.1536356,0.0
1.16,0.1328312,0.0,0.0,0.0,0.31803800000000004,0.41502600000000006,0.0464954,0.249226,0.1900376,0.312276,0.0,0.281416,0.0,0.0,0.0,0.14864280000000002,0.0
1.2,0.1457546,0.0,0.0,0.0,0.31644400000000006,0.417022,0.0525778,0.25230400000000003,0.19242540000000002,0.369526,0.0,0.225418,0.0,0.0,0.030901200000000004,0.177066,0.0
1.24,0.1414256,0.0,0.0,0.0,0.33602,0.39877199999999996,0.05187420000000001,0.27091,0.19639700000000002,0.39036000000000004,0.0,0.19429200000000002,0.0,0.0,0.0369048,0.16563380000000003,0.0
1.28,0.14691620000000002,0.0,0.0,0.00260772,0.34624800000000006,0.44836000000000004,0.061242200000000004,0.25068799999999997,0.193056,0.380722,0.0,0.1842548,0.0,0.0,0.0369048,0.19766080000000003,0.0
1.32,0.1310136,0.0,0.0,0.00260772,0.352902,0.454102,0.062195200000000006,0.265948,0.1977954,0.373904,0.0,0.17942599999999997,0.0,0.0,0.0060037400000000005,0.14233320000000002,0.0
1.36,0.12943200000000002,0.0,0.0,0.00260772,0.347318,0.45148400000000005,0.056099600000000006,0.289932,0.207806,0.351802,0.0,0.1968328,0.0,0.0,0.0,0.1466242,0.0
1.4,0.11295340000000001,0.0,0.0,0.0,0.33679800000000004,0.41323800000000005,0.06523680000000001,0.28983400000000004,0.214576,0.35209599999999996,0.0,0.244482,0.0,0.0,0.0014899940000000001,0.11835360000000002,0.0
